sample_name,k,fundamental_f1,harmonic_f1,combined_f1
fundamental_opposite_harmonic,11,0.8304,0.7656,0.8592
fundamental_opposite_harmonic02,11,0.8098,0.7174,0.8032
fundamental_steps,11,0.8182,0.7159,0.8090
fundamental_steps02,11,0.6344,0.7480,0.7540
fundamental_steps03,11,0.6787,0.7544,0.7902
kargyraa,11,0.0455,0.1444,0.0971
khoomei,11,0.6425,0.2716,0.5181
overtone_scale,11,0.8529,0.8970,0.9499
overtone_scale_02,11,0.7212,0.6973,0.7394
overtone_singing_song,11,0.6902,0.6852,0.7464
paralel_overtones01,11,0.5983,0.7538,0.7089
paralel_overtones02,11,0.8276,0.6971,0.8056
sygyt,11,0.6010,0.3862,0.5776
sygyt_02,11,0.8184,0.6286,0.7894
changing_fundamental,12,0.6444,0.7714,0.7328
fundamental_opposite_harmonic,12,0.7493,0.7929,0.8264
fundamental_opposite_harmonic02,12,0.6629,0.7333,0.7294
fundamental_steps,12,0.7111,0.7045,0.7456
fundamental_steps02,12,0.5566,0.7521,0.7163
fundamental_steps03,12,0.5481,0.7560,0.7236
kargyraa,12,0.0674,0.1538,0.1130
khoomei,12,0.6393,0.2963,0.5266
overtone_scale,12,0.8276,0.8696,0.9362
overtone_scale_02,12,0.6503,0.6990,0.7007
overtone_singing_song,12,0.6209,0.7062,0.7038
paralel_overtones01,12,0.5321,0.7937,0.6696
paralel_overtones02,12,0.7553,0.6854,0.7586
sygyt,12,0.6185,0.3904,0.5905
sygyt_02,12,0.8232,0.6306,0.7935
changing_fundamental,13,0.6070,0.7810,0.7208
fundamental_opposite_harmonic,13,0.7236,0.7818,0.8082
fundamental_opposite_harmonic02,13,0.6512,0.7528,0.7289
fundamental_steps,13,0.7045,0.7126,0.7470
fundamental_steps02,13,0.5098,0.7718,0.7027
fundamental_steps03,13,0.5146,0.7560,0.7068
kargyraa,13,0.0698,0.1910,0.1337
khoomei,13,0.6393,0.2840,0.5210
overtone_scale,13,0.8077,0.8871,0.9440
overtone_scale_02,13,0.6032,0.6895,0.6717
overtone_singing_song,13,0.5788,0.7085,0.6763
paralel_overtones01,13,0.5455,0.8031,0.6756
paralel_overtones02,13,0.6932,0.6857,0.7267
sygyt,13,0.6520,0.3862,0.6117
sygyt_02,13,0.8289,0.6306,0.7971
changing_fundamental,14,0.4958,0.7971,0.6762
fundamental_opposite_harmonic,14,0.6424,0.7868,0.7732
fundamental_opposite_harmonic02,14,0.5513,0.7797,0.6943
fundamental_steps,14,0.6303,0.7241,0.7103
fundamental_steps02,14,0.4200,0.7745,0.6364
fundamental_steps03,14,0.4297,0.7648,0.6711
kargyraa,14,0.1788,0.2346,0.2102
khoomei,14,0.6140,0.2857,0.5057
overtone_scale,14,0.7852,0.8333,0.9202
overtone_scale_02,14,0.5616,0.6819,0.6456
overtone_singing_song,14,0.5038,0.7122,0.6337
paralel_overtones01,14,0.5000,0.8769,0.6606
paralel_overtones02,14,0.6460,0.7024,0.7138
sygyt,14,0.6519,0.3803,0.6108
sygyt_02,14,0.8337,0.6326,0.8012
changing_fundamental,15,0.4397,0.8087,0.6375
fundamental_opposite_harmonic,15,0.5825,0.8148,0.7479
fundamental_opposite_harmonic02,15,0.5135,0.7931,0.6755
fundamental_steps,15,0.5563,0.7030,0.6711
fundamental_steps02,15,0.4410,0.8034,0.6528
fundamental_steps03,15,0.4084,0.7517,0.6458
kargyraa,15,0.1750,0.2667,0.2257
khoomei,15,0.6359,0.2767,0.5170
overtone_scale,15,0.7222,0.8090,0.8982
overtone_scale_02,15,0.5089,0.6701,0.6073
overtone_singing_song,15,0.4455,0.7262,0.6079
paralel_overtones01,15,0.4800,0.8387,0.6280
paralel_overtones02,15,0.6323,0.7037,0.7023
sygyt,15,0.6667,0.3816,0.6221
sygyt_02,15,0.8337,0.6326,0.8012
changing_fundamental,16,0.3733,0.7870,0.6034
fundamental_opposite_harmonic,16,0.5329,0.8153,0.7164
fundamental_opposite_harmonic02,16,0.4672,0.7784,0.6431
fundamental_steps,16,0.5139,0.7239,0.6574
fundamental_steps02,16,0.3665,0.8299,0.6166
fundamental_steps03,16,0.3558,0.7586,0.6175
kargyraa,16,0.2775,0.2515,0.2695
khoomei,16,0.5905,0.2857,0.4899
overtone_scale,16,0.6027,0.6452,0.8000
overtone_scale_02,16,0.4855,0.6771,0.5922
overtone_singing_song,16,0.3689,0.7187,0.5616
paralel_overtones01,16,0.4242,0.8682,0.5686
paralel_overtones02,16,0.5655,0.7407,0.6851
sygyt,16,0.6122,0.4152,0.5990
sygyt_02,16,0.8345,0.6286,0.7994
