sample_name,cent_tolerance,algorithm,fundamental_f1,harmonic_f1,combined_f1
fundamental_opposite_harmonic02,60,pYIN,0.7619,0.7962,0.8139
fundamental_opposite_harmonic02,60,HPS,0.7041,0.6180,0.6966
fundamental_steps,60,SWIPE,0.8241,0.7251,0.8182
fundamental_steps,60,YIN,0.8299,0.6667,0.8078
fundamental_steps,60,pYIN,0.8200,0.8021,0.8509
fundamental_steps,60,HPS,0.7204,0.6211,0.7112
fundamental_steps02,60,SWIPE,0.8645,0.7522,0.8807
fundamental_steps02,60,YIN,0.8493,0.7411,0.8783
fundamental_steps02,60,pYIN,0.8425,0.8137,0.8916
fundamental_steps02,60,HPS,0.7954,0.7119,0.8184
fundamental_steps03,60,SWIPE,0.8726,0.7785,0.9101
fundamental_steps03,60,YIN,0.8736,0.7841,0.9245
fundamental_steps03,60,pYIN,0.8692,0.8589,0.9441
fundamental_steps03,60,HPS,0.7992,0.7326,0.8453
kargyraa,60,SWIPE,0.6631,0.0000,0.1250
kargyraa,60,YIN,0.9585,0.4507,0.7705
kargyraa,60,pYIN,0.9283,0.4135,0.7255
kargyraa,60,HPS,0.2280,0.1628,0.0826
khoomei,60,SWIPE,0.8240,0.5119,0.7065
khoomei,60,YIN,0.8256,0.5397,0.7664
khoomei,60,pYIN,0.8221,0.5587,0.7250
khoomei,60,HPS,0.0263,0.1667,0.1056
overtone_scale,60,SWIPE,0.8387,0.8081,0.8846
overtone_scale,60,YIN,0.8618,0.8670,0.9260
overtone_scale,60,pYIN,0.8154,0.8279,0.8764
overtone_scale,60,HPS,0.8675,0.7876,0.8932
overtone_scale_02,60,SWIPE,0.9097,0.7788,0.8866
overtone_scale_02,60,YIN,0.8967,0.7919,0.8938
overtone_scale_02,60,pYIN,0.8941,0.8973,0.9297
overtone_scale_02,60,HPS,0.4385,0.5886,0.5405
overtone_singing_song,60,SWIPE,0.6935,0.6518,0.7377
overtone_singing_song,60,YIN,0.6924,0.6606,0.7540
overtone_singing_song,60,pYIN,0.7451,0.7510,0.8101
overtone_singing_song,60,HPS,0.5548,0.5678,0.6158
paralel_overtones01,60,SWIPE,0.8947,0.8000,0.8824
paralel_overtones01,60,YIN,0.9167,0.7840,0.8880
paralel_overtones01,60,pYIN,0.8961,0.8029,0.8826
paralel_overtones01,60,HPS,0.7463,0.6555,0.7325
paralel_overtones02,60,SWIPE,0.8962,0.8049,0.8994
